昵称,点赞数,IP属地,评论
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
端庄豆花Xx2,4,北京,被俄罗斯打的起不来了
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
用户7398447119229,2,天津,🇺🇦🇺🇦
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
顶级橘子qt,4,河南,一部分醒悟的老百姓不信戈培尔那一套了！
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
君子不留名片,9,河北,不干涉他国内政，包括美国的政策
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
自强不息雪碧EVE,7,上海,那为啥当时俄罗斯也好几次要求加入北约啊。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
用户5272316670066,3,浙江,媒体不能没有良心
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
Feego1109,3,山东,乌克兰加油
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
清风霁月SC,12,山西,[吐][吐][吐][吐][吐]
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
南门外头滴老皮,8,陕西,看到这种标题通常都是直奔评论区[捂脸]
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
可靠铅笔Gx,18,河北,联合国宪章是否得改写！
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
自若原野Iy,3,山东,出卖良知，妄顾正义[呆无辜]
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
筑梦空间都,4,广东,一个国家媒体，写出这样的文章，一声叹息。看评论，明智开启啦[祈祷]
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
谭洪波1,6,重庆,写的啥玩意，都是老美的错
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
LiMULi,4,北京,吃不上肉的日子快来了。
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
Qwvyfyff,4,北京,这大元！够扯淡的胡说八道
西门开门去扫雪,9,山西,小编你出来走几步，看会不会让车撞
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
Qwvyfyff,4,北京,这大元！够扯淡的胡说八道
萌萌的han宝宝,2,重庆,没错，美国让俄罗斯动的手！[酷拽]
快乐清风Tq9,3,美国,你们也有家人，积点德吧！
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
Qwvyfyff,4,北京,这大元！够扯淡的胡说八道
萌萌的han宝宝,2,重庆,没错，美国让俄罗斯动的手！[酷拽]
灵敏清泉c4z,2,河南,什么狗屁文章
才高八斗青山iL,3,安徽,正义永远战胜邪恶
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
Qwvyfyff,4,北京,这大元！够扯淡的胡说八道
萌萌的han宝宝,2,重庆,没错，美国让俄罗斯动的手！[酷拽]
灵敏清泉c4z,2,河南,什么狗屁文章
风度翩翩的会当水击三,16,四川,不值得看
又见雁过蓝天,3,山东,看了友友们的评论，放心了。本届网友的睿智不是一篇文章能颠覆的
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
Qwvyfyff,4,北京,这大元！够扯淡的胡说八道
萌萌的han宝宝,2,重庆,没错，美国让俄罗斯动的手！[酷拽]
灵敏清泉c4z,2,河南,什么狗屁文章
风度翩翩的会当水击三,16,四川,不值得看
魔域流星,2,浙江,你懂个屁
博学麻酱I9,4,重庆,中国有句老话，路见不平，拔刀相助。
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
Qwvyfyff,4,北京,这大元！够扯淡的胡说八道
萌萌的han宝宝,2,重庆,没错，美国让俄罗斯动的手！[酷拽]
灵敏清泉c4z,2,河南,什么狗屁文章
风度翩翩的会当水击三,16,四川,不值得看
魔域流星,2,浙江,你懂个屁
开朗星星Tyw,3,安徽,胡说八道，看隔壁妇美，土肥，就抢，什么逻辑
坦荡的轮船gQ,3,广东,要有人类的良知！
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
69韦森,3,河北,[吐][吐][吐][吐][吐]
若水不争899,3,河南,然后呢？？
智慧云朵uR9,3,陕西,胡说八道没用‼️群众的眼睛是雪亮的‼️
Jwp雨蒙蒙1,3,陕西,脑子得做多么彻底的格式化，才能今天还写这样的文章呢？
Qwvyfyff,4,北京,这大元！够扯淡的胡说八道
萌萌的han宝宝,2,重庆,没错，美国让俄罗斯动的手！[酷拽]
灵敏清泉c4z,2,河南,什么狗屁文章
风度翩翩的会当水击三,16,四川,不值得看
魔域流星,2,浙江,你懂个屁
开朗星星Tyw,3,安徽,胡说八道，看隔壁妇美，土肥，就抢，什么逻辑
1嗰亼d笹鎅153077055,35,江苏,我不信
831356601801云遮月,4,山东,一贯恶毒
芦苇草麦田,3,四川,这个时代有独立思考的民众越来越多。想引导民意，首先支撑你的观点的底层逻辑得清晰且正确
优雅海风GUt,3,四川,得道多助，失道寡助。
乐观的暖阳jN,6,北京,2014的克里米亚没解释透彻。
睿智的茉莉,15,,精彩评论[赞][赞]
概念24面体,6,江苏,卿本佳人，奈何做贼？
虚怀若谷1122335566,2,吉林,乌克兰老百姓 可不这么想
Bobby239194279,6,美国,这么好的文章，就应该翻译成英文，让全世界人民都认清真实的嘴脸。
